 CArea   |   BArea   | Perimeter |   Aspect  |   Extent  |  Solidity |  PolySize 
1660.00  |  3132.00  |   297.40  |    4.30   |    0.53   |    0.68   |     7    
3254.00  |  6624.00  |   673.14  |    2.88   |    0.49   |    0.56   |     9
4816.50  |  9061.00  |   677.92  |    5.39   |    0.53   |    0.63   |     11 
2983.00  |  14700.00 |   725.28  |    1.53   |    0.20   |    0.27   |     9
6367.00  |  15352.00 |   869.85  |    1.50   |    0.41   |    0.52   |     12
2689.50  |  7950.00  |   459.64  |    2.83   |    0.34   |    0.47   |     8
3817.00  |  7216.00  |   487.14  |    3.73   |    0.53   |    0.64   |     7
7076.00  |  9894.00  |   568.17  |    3.80   |    0.72   |    0.82   |     8
7621.50  |  19600.00 |  1288.03  |    4.00   |    0.39   |    0.46   |     7
3325.50  |  10962.00 |   720.69  |    3.76   |    0.30   |    0.41   |     10
1856.00  |  3892.00  |   348.91  |    4.96   |    0.48   |    0.67   |     7
2707.00  |  15360.00 |   663.62  |    2.40   |    0.18   |    0.28   |     8     //p5280007
2140.50  |  4160.00  |   421.64  |    6.15   |    0.51   |    0.59   |     6
1979.50  |  4495.00  |   361.64  |    4.68   |    0.44   |    0.64   |     11 
1691.50  |  5076.00  |   412.81  |    3.92   |    0.33   |    0.46   |     8
2263.00  |  4247.00  |   383.74  |    4.42   |    0.53   |    0.63   |     8
1719.50  |  3690.00  |   338.81  |    4.10   |    0.47   |    0.58   |     8
3984.00  |  6290.00  |   443.20  |    4.59   |    0.63   |    0.75   |     9
4053.50  |  9071.00  |   616.69  |    4.11   |    0.45   |    0.55   |     12
